id,label,dateOfBirth,dateOfDeath,countryOfCitizenshipISO,harvardIndex,bionomia,authorAbbrv,aliases,firstName,lastName
Q100142069,Frida Eggens,,,SE,,,Eggens,Eggens,Frida,Eggens
Q100146795,Elizabeth Harrison,1792.0,1834.0,GB,,Q100146795,,"Mrs Arnold Harrison, Mrs A. H.",Elizabeth,Harrison
Q100149196,Russell Cox,,,,,0000-0001-5149-1709,,,Russell,Cox
Q100152296,Alda Pereira da Fonseca,1882.0,,BR,,,,,Alda,Fonseca
Q100156193,Laurence Henry Millener,1914.0,2000.0,NZ,,Q100156193,,"L. H. Millener, Laurie Henry Millener, Laurie Millener",Laurence,Millener
Q100156252,Thomas Leonard Lancaster,1888.0,1945.0,NZ,,Q100156252,,T. L. Lancaster,Thomas,Lancaster
Q100156269,Mike Quinn,1962.0,,US,,,,"Quinn, Michael A. Quinn, Michael Andrew Quinn",Mike,Quinn
Q100157099,Ross Henry Michie,1894.0,1987.0,NZ,,Q100157099,,"Ross Michie, R. H. Michie",Ross,Michie
Q100207515,Andriy Novikov,,,UA,,0000-0002-0112-5070,A.V.Novikov,"Andriy V. Novikov, Andrew Novikov, A.V.Novikov, Андрій В. Новіков",Andriy,Novikov
Q100222,Johann Bartsch,1709.0,1738.0,DE,27614,,Bartsch,"Johannes Bartsch, Joannes Bartsch, Bartsch",Johann,Bartsch
Q100231222,Ernest Robert Sears,1910.0,1991.0,,,,,Ernie Sears,Ernest,Sears
Q1002345,Townshend Stith Brandegee,1843.0,1925.0,US,17284,Q1002345,Brandegee,"Brandegee, T. S. Brandegee, Townshend S. Brandegee",Townshend,Brandegee
Q100251451,Colin Meurk,1947.0,,NZ,,0000-0002-8077-3171,,"Colin D. Meurk, Dr Colin Meurk, Colin Douglas Meurk, Meurk, C.D., Meurk, C. D., Meurk, CD, Meurk, Colin D., C. D. Meurk",Colin,Meurk
Q100255559,Cécile Kruyfhooft,1950.0,,BE,18988,,,,Cécile,Kruyfhooft
Q100270468,Jack Henry Sandground,1899.0,1976.0,US,,Q100270468,,"John Henry Sandground, John H. Sandground, J.H. Sandground",Jack,Sandground
Q100276533,James Davis Ray Jr.,1918.0,1990.0,,,,,,James,Jr.
Q100317848,Stephen G Thomas,,,,,,,"Stephen Thomas, Stephen Gregory Thomas",Stephen,Thomas
Q100318248,M Iqbal R Khan,,,,,,,M. Iqbal R. Khan,M,Khan
Q100318766,Ludwik Lipnicki,1947.0,2021.0,PL,,,,,Ludwik,Lipnicki
Q100354624,Charles Bullard,1869.0,1960.0,US,3553,Q100354624,,C. Bullard,Charles,Bullard
Q100364040,John George Brooks,1910.0,1975.0,AU,,Q100364040,,"J. G. Brooks, George Brooks, John G. Brooks",John,Brooks
Q100377900,Zubair Aslam,,,,88384,,,,Zubair,Aslam
Q100380034,Anne-Laure Jacquemart,1965.0,,FR,,,,A-L Jacquemart,Anne-Laure,Jacquemart
Q1003905,János Fridvalszky,1730.0,1784.0,HU,,,,"Janos Fridvalszky, János Fridvaldszky",János,Fridvalszky
Q100390903,Leslie Herbert Mosse-Robinson,1886.0,1954.0,AU,,Q100390903,,"Leslie H. Mosse-Robinson, L. H. Mosse-Robinson, L. M. Mosse-Robinson",Leslie,Mosse-Robinson
Q100394661,Taki Handa,1871.0,1956.0,,,,,,Taki,Handa
Q100397018,Ralph Durham Bird,1901.0,1972.0,,98506,Q100397018,,R.D. Bird,Ralph,Bird
Q100400504,Thomas Graham Campbell,1904.0,1988.0,AU,,Q100400504,,T. G. Campbell,Thomas,Campbell
Q100400553,Keith Carnaby,1910.0,1994.0,AU,,Q100400553,,K. Carnaby,Keith,Carnaby
Q100400667,Graeme Cocks,1946.0,2018.0,AU,,Q100400667,,"G. Cocks, Graeme V. Cocks",Graeme,Cocks
Q100400770,Ernst Hemmendorff,1866.0,1929.0,SE,,Q100400770,,,Ernst,Hemmendorff
Q100400840,Roderick Dobson,1907.0,1979.0,GB,,Q100400840,,R. Dobson,Roderick,Dobson
Q100400872,Dallas Andrew Doolan,1944.0,1981.0,AU,,Q100400872,,"Dallas A. Doolan, D. A. Doolan",Dallas,Doolan
Q100401151,Hermann Elgner,,1913.0,DE,,Q100401151,,H. Elgner,Hermann,Elgner
Q100402305,Josselyn Botanical Society,,,,99944,,,,Josselyn,Society
Q100411,Ulrich Willerding,1932.0,2021.0,DE,23934,,,,Ulrich,Willerding
Q100416195,Carol A Wilson,,,,,,,Carol Wilson,Carol,Wilson
Q100428117,François Billy,1920.0,2010.0,FR,,,,,François,Billy
Q1004524,János Fábry,1830.0,1907.0,HU,,,,Janos Fabry,János,Fábry
Q100454982,Carlos Arnaldo Krug,1906.0,1973.0,BR,50126,,,"C. A. Krug, Krug, C.A.",Carlos,Krug
Q100510853,Harald G. Zechmeister,,,,,,,"Harald Zechmeister, Harald Gustav Zechmeister",Harald,Zechmeister
Q100523,Theodor Braeucker,1815.0,1882.0,,78274,Q100523,Braeucker,Braeucker,Theodor,Braeucker
Q100531396,Hugo Boyko,1892.0,1970.0,"AT, IL",,,,Hugo Nathanael Boyko,Hugo,Boyko
Q100561559,Madeline Lewellin,1854.0,1944.0,AU,,Q100561559,,"Madeline Mary Ravenna Lewellin, M. M. R. Lewellin",Madeline,Lewellin
Q100587885,Myrtle T. Adams,1903.0,1989.0,US,29015,Q100587885,,"Mrs J. W. Adams, Mrs Joseph William Adams, Myrtle L. T. Adams",Myrtle,Adams
Q100587966,A. W. Anderson,,,,14467,,,,A.,Anderson
Q100591659,Krzysztof Spałek,1970.0,2019.0,,,,,,Krzysztof,Spałek
Q100597593,Ronald Bamford,1901.0,1981.0,,,,,,Ronald,Bamford
Q100600540,Hubert Walter Simmonds,1877.0,1966.0,,,Q100600540,,"Hubert W. Simmonds, Hubert W Simmonds, H W Simmonds, H. W. Simmonds",Hubert,Simmonds
Q1006030,János Földi,1778.0,1854.0,HU,,,,,János,Földi
Q100606002,Maria Flügel,1926.0,2000.0,,,,,,Maria,Flügel
Q100606072,Babette I. Brown Coleman,1908.0,2001.0,US,90089,Q100606072,,"Babette I. Brown, Babette Brown Coleman, B. I. Brown, B. B. Coleman, B. I. B. Coleman",Babette,Coleman
Q100606108,Ethel B. Brubaker,1885.0,1959.0,US,43431,Q100606108,,"E. B. Brubaker, Ethel Brubaker",Ethel,Brubaker
Q100606192,Kathleen N. Carter,,,,25222,,,"Kathleen Carter, K. Carter",Kathleen,Carter
Q100606210,Elizabeth C. Earle,1895.0,1982.0,US,6111,Q100606210,,"E. C. Earle, Elizabeth Campbell Earle",Elizabeth,Earle
Q100606303,Nellie Alexander Erisman,1899.0,1985.0,US,,Q100606303,,"N. A. Erisman, Nellie Alexander Stitt, Nellie A. Erisman",Nellie,Erisman
Q100606342,Eva D. Gadsby,,,,,,,,Eva,Gadsby
Q100616,Friedrich Schmitz,1850.0,1895.0,,37138,,F.Schmitz,F.Schmitz,Friedrich,Schmitz
Q100657,Fritz Encke,1861.0,1931.0,DE,878,,Encke,"Friedrich August Ernst Encke, Encke",Fritz,Encke
Q1006737,József Füzi,1931.0,,RO,,,,,József,Füzi
Q100683,Fritz Plaumann,1902.0,1994.0,"DE, BR",,,,,Fritz,Plaumann
Q100694962,Leonora Gloyd,1902.0,1993.0,US,,Q100694962,,"Leonora Katherine Doll Gloyd, Leonora K. Gloyd, Dolly Gloyd, L.K. Gloyd, L. Gloyd, Leonora K. Doll Gloyd, L. K. Gloyd",Leonora,Gloyd
Q100699473,Phoebe Jaffrey,1834.0,,,,Q100699473,,Mrs P. Jaffrey,Phoebe,Jaffrey
Q100699625,Andrew Thomas Jaffrey,,,,,,,,Andrew,Jaffrey
Q100699957,Lewis J. Stannard,1918.0,1988.0,US,,Q100699957,,"LJ Stannard, Lewis Judson Stannard, L Stannard, Lou Stannard, Lew Stannard, L.J. Stannard, Jr., Lewis J. Stannard, Jr., Lewis J. Stannard Jr.",Lewis,Stannard
Q100701296,Eleanor Bournonville Watt Johnson,1897.0,1961.0,US,,Q100701296,,"Mrs. Keating Johnson, Mrs. W. Keating Johnson",Eleanor,Johnson
Q100709237,Hein Hidde Zeijlstra,1881.0,1961.0,,,,,,Hein,Zeijlstra
Q100711672,Mary-Hélène Noël,,,,86142,,,,Mary-Hélène,Noël
Q100727818,Mohammad Sadegh Amiri,1976.0,,IR,,,,,Mohammad,Amiri
Q100740492,Athol Bridson Hastings,1920.0,1989.0,NZ,,Q100740492,,"A. Hastings, Athol Hastings, A.B. Hastings",Athol,Hastings
Q100741970,Victor Noppeney,,1922.0,,,,,"(Jean, Nicolas) Victor Noppeney",Victor,Noppeney
Q100748197,Janet Rapp,1921.0,1998.0,,,Q100748197,,Janet Cooper,Janet,Rapp
