id,Standard/Label Name,birthYear,deathYear,birthYearIsApprox,geographyISO,firstName,middleName,lastName,B & P Author Abbrev.,Name
89438,Shin. Sato,,,,DE,Shinya,,Sato,Shin. Sato,"Sato, Shinya, Shinya Sato"
64680,E. J. Hoffman,,,,,Emily,J.,Hoffman,E. J. Hoffman,"Hoffman, Emily J., Emily J. Hoffman"
34653,D. W. Stevenson,1942.0,,False,US,Dennis,William,Stevenson,D. W. Stev.,"Stevenson, Dennis William, Dennis William Stevenson, Stevenson, D. W., Stevenson, Dennis William et alia"
42819,D. Müller-Doblies,1938.0,,False,DE,Dietrich,,Müller-Doblies,D. Müll.-Doblies,"Müller-Doblies, Dietrich, Dietrich Müller-Doblies"
82862,Boutroux,,,,,A.,,Boutroux,Boutroux,"Boutroux, A., A. Boutroux"
79322,J. C. Segura,1846.0,1906.0,False,MX,José,Carmen,Segura,Segura,"Segura, José Carmen, José Carmen Segura"
37972,J. T. I. Boswell,1822.0,,False,,John,Thomas Irving,Boswell,,"Boswell, John Thomas Irving"
1535,A. N. Duchesne,1747.0,1827.0,False,FR,Antoine,Nicolas,Duchesne,Duchesne,"Duchesne, Antoine Nicolas, Antoine Nicolas Duchesne"
61333,Finch,1939.0,,False,,R.,A.,Finch,Finch,"Finch, R. A., R. A. Finch"
86767,H. H. Hu & W. C. Chêng,,,,CN,Hsen,Hsu & Chêng,Hu,Hu & W. C. Cheng,"Hu, Hsen Hsu & Chêng, Wan-chun"
29813,P. Lasquety,,,,,P.,,Lasquety,,"Lasquety, P."
71784,H. Farenholtz,1884.0,,False,DE,Hermann,,Farenholtz,Farenholtz,"Farenholtz, Hermann, Hermann Farenholtz"
29336,J. I. Treby,,,,RU,Ju.,I.,Treby,,"Treby, Ju. I., J. Treboux?"
43455,H. Hofer,,,,MX,H.,,Hofer,,"Hofer, H."
86199,L. Ordoñez,,,,CO,L.,,Ordoñez,,"Ordoñez, L."
43814,H. W. Heinsius,,1939.0,,"BE, LU, NL",H.,W.,Heinsius,,"Heinsius, H. W."
15646,B. Neely,,,,US,B.,,Neely,,"Neely, B."
32645,L. P. Thijssen,,,,ID,L.,P.,Thijssen,,"Thijssen, L. P."
20891,E. Dahlin,,,,"PA, CO",Emil,,Dahlin,,"Dahlin, Emil"
17853,D. Taylor,,,,DM,Douglas,,Taylor,,"Taylor, Douglas"
23055,H. Reimers,1893.0,1961.0,False,"CM, CL",Hermann,,Reimers,,"Reimers, Hermann"
38822,M. F. Streeter,,,,,M.,F.,Streeter,,"Streeter, M. F."
87209,W. G. Scrimgeour,,,,CA,W.,G.,Scrimgeour,,"Scrimgeour, W. G."
36380,R. W. Hobdy,,,,US,Robert,W.,Hobdy,Hobdy,"Hobdy, Robert W., Robert W. Hobdy"
44667,L. O. Gaiser,1896.0,1965.0,False,US,Lulu,Odell,Gaiser,Gaiser,"Gaiser, Lulu Odell, Lulu Odell Gaiser"
35426,Octubre,,,,PH,Octubre,,,,Octubre
73240,Ambwani,,,,IN,K.,,Ambwani,Ambwani,"Ambwani, K., K. Ambwani"
30296,C. B. Smith,,,,,C.,B.,Smith,,"Smith, C. B."
60709,R. R. Brinker,1905.0,1970.0,False,MX,Robert,Rolland,Brinker,Brinker,"Brinker, Robert Rolland, Robert Rolland Brinker"
64081,D. Delaroche,1743.0,1813.0,False,"NL, CH",Daniel,,Delaroche,D. Delaroche,"Delaroche, Daniel, Daniel Delaroche; name given as Roche, Daniel de la in TL2"
72161,Y. S. Bau,,,,,Y.,S.,Bau,Y. S. Bau,"Bau, Y. S., Y. S. Bau"
65296,Villeret,,,,,Serge,,Villeret,Villeret,"Villeret, Serge, Serge Villeret"
22639,M. A. Beazley,,,,US,Mary,Alice,Beazley,,"Beazley, Mary Alice"
74377,W. J. Harley,1895.0,,False,LR,Winifred,J.,Harley,W. J. Harley,"Harley, Winifred J., Winifred J. Harley"
26280,P. H. G. Powell-Cotton,,,,"CM, ET",P.,H. G.,Powell-Cotton,,"Powell-Cotton, P. H. G."
63553,K. Hatai,1944.0,2021.0,False,JP,Kishio,,Hatai,Hatai,"Hatai, Kishio, Kishio Hatai"
19247,F. Abad,,,,PE,F.,,Abad,,"Abad, F."
63537,Hagenbach,1771.0,1849.0,False,CH,Carl,Friedrich,Hagenbach,Hagenb.,"Hagenbach, Carl Friedrich, Carl Friedrich Hagenbach"
28895,Fr. Fabius,1918.0,,False,CA,Frère,,Fabius,,"Fabius, Frère"
80528,I. Gruber,,,,,Ilse,,Gruber,I. Gruber,"Gruber, Ilse, Ilse Gruber"
11187,R. E. Brockett,1840.0,1923.0,False,US,Ruth,E.,Brockett,,"Brockett, Ruth E."
39604,E. Yurdakulol,1940.0,,False,TR,Ender,,Yurdakulol,,"Yurdakulol, Ender"
7168,J. de Freitas,,,,AN,John,de,Freitas,,"Freitas, John de"
64034,M. J. Smiley,,,,,M.,J.,Smiley,M. J. Smiley,"Smiley, M. J., M. J. Smiley"
29952,Miss Berkimer,,,,US,Berkimer,,,,"Berkimer, Miss"
25881,J. S. van Braam,1872.0,1941.0,False,ID,Jouke,Seerp van,Braam,,"Braam, Jouke Seerp van"
80120,E. S. Berkeley,1823.0,1898.0,False,,Emeric,Streatfield,Berkeley,E. S. Berk.,"Berkeley, Emeric Streatfield, Emeric Streatfield Berkeley"
18910,G. Gulia,1835.0,1889.0,False,MT,Gavino,,Gulia,Gulia,"Gulia, Gavino, Gavino Gulia"
67537,J. Guillot,1938.0,2023.0,False,FR,Jean,,Guillot,Guillot,"Guillot, Jean, Jean Guillot"
34933,W. Moi,,,,PG,W,,Moi,,"Moi, W, Moi"
15241,Ripin,,,,ID,Ripin,,,,Ripin
88682,D. E. Ramadori,,,,AR,D.,E.,Ramadori,,"Ramadori, D. E."
29253,M. K. Gorst,,,,RU,M.,K.,Gorst,,"Gorst, M. K."
9546,H. H. Hu,1894.0,1968.0,False,CN,Hsen-Hsu,,Hu,,"Hu, Hsen-Hsu"
43913,J. McLaren,,,,"PT, DE",J.,,McLaren,,"McLaren, J."
8563,J. Carreras,1956.0,,False,ES,J.,,Carreras,,"Carreras, J."
13662,H. C. Orcutt,1825.0,,False,"MX, US",Herman,Chandler,Orcutt,,"Orcutt, Herman Chandler, Orcutt, Heman Chandler"
3597,M. Boudrie,1950.0,,False,FR,Michel,,Boudrie,,"Boudrie, Michel"
46724,J. W. Wood,,,,,John,W.,Wood,,"Wood, John W., John Bland, 1813-1890?"
65083,N. Spjeldnaes,1926.0,2006.0,False,"NO, SE",Nils,,Spjeldnaes,Spjeldn.,"Spjeldnaes, Nils, Nils Spjeldnaes, Spjeldnæs, Nils"
2144,F. A. Schade,1881.0,1976.0,False,DE,Friedrich,Alwin,Schade,Schade,"Schade, Friedrich Alwin, Friedrich Alwin Schade"
68437,Dellien,,,,DE,Friedrich,,Dellien,Dellien,"Dellien, Friedrich, Friedrich Dellien"
19445,J. Guarro,1948.0,,False,"ES, BR",Josep,,Guarro,Guarro,"Guarro, Josep, Guarro, J., Josep Guarro Artigas, Josep Guarro Artigas; Josep Guarro"
3727,W. H. Wiegmann,,,,US,William,H.,Wiegmann,,"Wiegmann, William H."
28490,M. Steciow,1959.0,,False,AR,Mónica,,Steciow,,"Steciow, Mónica"
61933,Yusof,,,,BD,Mohammed,,Yusof,Yusof,"Yusof, Mohammed, Mohammed Yusof"
